stable,team,jornada,season
85.38543328017012,Girona,31,2024
84.29425837320574,Las Palmas,31,2024
79.76342371079213,Mallorca,31,2024
81.16427432216906,Athletic Club,31,2024
78.86496544391281,Real Madrid,31,2024
81.80489101541733,Celta Vigo,31,2024
77.8575225943647,Osasuna,31,2024
77.80037214247741,Villarreal,31,2024
78.2801701222754,Real Betis,31,2024
81.86602870813397,Getafe,31,2024
81.14699627857523,Barcelona,31,2024
81.25863902179691,Cádiz,31,2024
83.99521531100478,Alavés,31,2024
78.19245082402978,Atlético Madrid,31,2024
82.9638490164806,Granada,31,2024
78.52206273258905,Almería,32,2024
82.2594364699628,Rayo Vallecano,32,2024
76.21477937267412,Sevilla,32,2024
86.66932482721957,Valencia,32,2024
77.8575225943647,Real Sociedad,32,2024
85.07442849548113,Girona,32,2024
83.33599149388623,Las Palmas,32,2024
78.68686868686868,Mallorca,32,2024
80.47315257841574,Athletic Club,32,2024
78.04625199362042,Real Madrid,32,2024
81.09516214779373,Celta Vigo,32,2024
76.9404572036151,Osasuna,32,2024
77.07070707070707,Villarreal,32,2024
77.79904306220095,Real Betis,32,2024
81.45401382243487,Getafe,32,2024
79.63450292397661,Barcelona,32,2024
80.58346624136098,Cádiz,32,2024
82.80435938330675,Alavés,32,2024
77.39234449760765,Atlético Madrid,32,2024
82.52259436469963,Granada,32,2024
78.24428495481126,Almería,33,2024
81.54173312068049,Rayo Vallecano,33,2024
75.47581073896863,Sevilla,33,2024
85.99149388623073,Valencia,33,2024
77.08665603402446,Real Sociedad,33,2024
84.82987772461456,Girona,33,2024
82.39234449760765,Las Palmas,33,2024
78.03827751196172,Mallorca,33,2024
79.74215842636895,Athletic Club,33,2024
76.27060074428496,Real Madrid,33,2024
80.6166932482722,Celta Vigo,33,2024
76.43540669856459,Osasuna,33,2024
76.24136097820309,Villarreal,33,2024
77.61828814460394,Real Betis,33,2024
81.14300903774588,Getafe,33,2024
79.24906964380648,Barcelona,33,2024
79.82589048378522,Cádiz,33,2024
82.29133439659756,Alavés,33,2024
76.6294524189261,Atlético Madrid,33,2024
82.06273258904838,Granada,33,2024
77.41360978203083,Almería,34,2024
80.53163211057948,Rayo Vallecano,34,2024
75.01860712387028,Sevilla,34,2024
85.55555555555556,Valencia,34,2024
76.17756512493355,Real Sociedad,34,2024
84.60659223817119,Girona,34,2024
81.99627857522594,Las Palmas,34,2024
77.3444976076555,Mallorca,34,2024
78.89287612971823,Athletic Club,34,2024
75.67517278043593,Real Madrid,34,2024
79.5986177565125,Celta Vigo,34,2024
76.03535353535354,Osasuna,34,2024
75.85858585858585,Villarreal,34,2024
77.02020202020202,Real Betis,34,2024
80.82402977139819,Getafe,34,2024
78.90616693248272,Barcelona,34,2024
79.06565656565657,Cádiz,34,2024
81.90324295587453,Alavés,34,2024
75.98086124401914,Atlético Madrid,34,2024
81.80754917597022,Granada,34,2024
76.84476342371079,Almería,35,2024
79.72620946305156,Rayo Vallecano,35,2024
74.44710260499734,Sevilla,35,2024
85.01594896331738,Valencia,35,2024
75.48112706007443,Real Sociedad,35,2024
84.10685805422648,Girona,35,2024
81.19617224880383,Las Palmas,35,2024
76.13769271664009,Mallorca,35,2024
77.98777246145667,Athletic Club,35,2024
75.05316321105795,Real Madrid,35,2024
78.90217969165337,Celta Vigo,35,2024
75.75491759702285,Osasuna,35,2024
75.2099946836789,Villarreal,35,2024
76.38490164805954,Real Betis,35,2024
80.22860180754918,Getafe,35,2024
78.33200425305688,Barcelona,35,2024
78.79718234981394,Cádiz,35,2024
81.06326422115896,Alavés,35,2024
75.27379053694844,Atlético Madrid,35,2024
81.1323763955343,Granada,35,2024
76.2307283359915,Almería,36,2024
79.36735778841042,Rayo Vallecano,36,2024
74.00318979266348,Sevilla,36,2024
84.0855927698033,Valencia,36,2024
74.4922913343966,Real Sociedad,36,2024
83.49548112706007,Girona,36,2024
80.49441786283892,Las Palmas,36,2024
74.92025518341308,Mallorca,36,2024
76.37958532695374,Athletic Club,36,2024
73.30143540669856,Real Madrid,36,2024
77.650186071238707,Celta Vigo,36,2024
74.70760233918128,Osasuna,36,2024
74.84715576820841,Villarreal,36,2024
75.37745879851143,Real Betis,36,2024
79.68633705475811,Getafe,36,2024
77.52126528442318,Barcelona,36,2024
78.58187134502924,Cádiz,36,2024
79.74215842636895,Alavés,36,2024
